query,status,matched_name,feature_type,kommune,east,north,dist_km,uncertainty_m,n_in_area,n_observations
Nørdre Løyftet,ok,Nørdre Løyftet,Skar,Lesja,458447.24,6882576.41,16.09,1500.0,1,1
Nørdre Svarthaugen,ok,Nørdre Svarthaugen,Haug,Skjåk,451956.92,6877912.94,23.38,1500.0,1,1
Raubergsløftet,needs_review,Raudbergi,Fjell,Lesja,466729.25,6897762.78,15.52,1200.0,2,1
Raudalsvatnet,needs_review,Skarvedalsvatnet,Vann,Skjåk,450874.59,6881197.89,23.77,800.0,3,1
Resskulan,fuzzy,Resvollan,Bruk,Lom,472876.8,6859082.74,25.27,400.0,1,1
Ruphovden,ok,Ruphovden,Fjell,Skjåk,473619.93,6863444.72,20.87,1200.0,1,1
Ryggehø,fuzzy,Rygghøe,Fjell,Lesja,476582.09,6876893.99,7.71,1200.0,5,1
Sandåa,fuzzy,Sandranden,Haug,Lesja,481780.17,6887520.41,8.01,1500.0,29,1
Sekken,needs_review,Skalbekken,Bekk,Lesja,476751.59,6892461.18,8.48,1500.0,25,1
Skardtind,ok,Skardtind,Fjell,"Lesja,Skjåk,Lom",478602.14,6875129.8,10.07,1200.0,1,1
Skartind,fuzzy,Skardåe,Bekk,Lesja,478425.5,6885148.02,4.07,1500.0,7,1
Skarvedalsmunninga,needs_review,Skarvedalsreset,Skar,Lesja,457390.94,6880279.69,17.52,1500.0,6,1
Skautflye,not_found,,,,,,,,0,1
Skrilaupen,needs_review,Skriu,Li,Lesja,470514.41,6882262.5,4.43,1500.0,7,1
Sota,needs_review,Nordli,Bruk,Skjåk,453088.82,6863949.61,29.5,400.0,1,1
Sotfly,needs_review,Nordli,Bruk,Skjåk,453088.82,6863949.61,29.5,400.0,1,1
Sotlfye,not_found,,,,,,,,0,1
Sotskarvet,needs_review,Bråskarvet,Bakke,Lom,478195.99,6866147.97,18.54,1500.0,3,1
Sottjønnen,needs_review,Svatjønne,Tjern,Lesja,476822.39,6890873.75,6.99,800.0,9,1
Sovarhaugen,ok,Sovarhaugen,Haug,Lesja,457671.92,6887342.89,17.05,1500.0,1,1
Spongi,needs_review,Spongtjønne,Vann,"Skjåk,Lesja",447802.05,6892197.3,27.79,800.0,4,1
Spongvatnet,ok,Spongvatnet,Vann,Skjåk,445983.09,6891604.19,29.38,800.0,1,1
Stamåa,fuzzy,Stamåhjulet,Fjell,Skjåk,449075.64,6879146.49,25.89,1200.0,5,1
Stamåfly,needs_review,Stamåhjulet,Fjell,Skjåk,449075.64,6879146.49,25.89,1200.0,4,1
Steindalen,needs_review,Strypdalen,Dal,Lesja,481687.34,6887425.6,7.89,3000.0,36,1
Steinflya,needs_review,Steinbotnen,Botn,Lesja,465184.74,6885585.74,9.35,1500.0,13,1
Steinflye,ok,Steinflyi,Fjellside,Lom,482892.89,6871298.88,15.51,1200.0,1,1
Storberka,fuzzy,Storåe,Bekk,Lesja,474330.79,6882422.38,1.88,1500.0,10,1
Storbrettingskollen,ok,Storbrettingskollen,Fjell,Lom,486657.96,6873213.93,16.5,1200.0,1,1
